年度,縣市別,統計項目,單位,中小企業(千人),大企業(千人),政府僱用(千人)
2023,桃園市,就業人數,千人,833,254,83
2023,臺中市,就業人數,千人,1316,138,114
2023,臺南市,就業人數,千人,763,126,70
2023,高雄市,就業人數,千人,1092,154,113
2023,基隆市,就業人數,千人,92,3,19
2023,宜蘭縣,就業人數,千人,151,7,22
2023,新竹市,就業人數,千人,197,149,24
2023,新竹縣,就業人數,千人,136,65,16
2023,苗栗縣,就業人數,千人,141,41,25
2023,彰化縣,就業人數,千人,440,31,32
2023,南投縣,就業人數,千人,170,9,23
2023,雲林縣,就業人數,千人,229,27,26
2023,嘉義市,就業人數,千人,101,6,16
2023,嘉義縣,就業人數,千人,163,12,15
2023,屏東縣,就業人數,千人,264,7,32
2023,澎湖縣,就業人數,千人,27,0,10
2023,花蓮縣,就業人數,千人,101,5,26
2023,臺東縣,就業人數,千人,74,2,21
2023,金馬,就業人數,千人,1,0,0
2023,其他,就業人數,千人,52,0,0
2024,總計,就業人數,千人,9194,1372,1029
2024,臺北市,就業人數,千人,1361,206,237
2024,新北市,就業人數,千人,1475,102,117
2024,桃園市,就業人數,千人,858,257,78
2024,臺中市,就業人數,千人,1314,143,114
2024,臺南市,就業人數,千人,752,136,66
2024,高雄市,就業人數,千人,1076,145,111
2024,基隆市,就業人數,千人,89,4,18
2024,宜蘭縣,就業人數,千人,150,8,23
2024,新竹市,就業人數,千人,197,145,27
2024,新竹縣,就業人數,千人,146,79,17
2024,苗栗縣,就業人數,千人,136,44,24
2024,彰化縣,就業人數,千人,433,33,29
2024,南投縣,就業人數,千人,175,8,23
2024,雲林縣,就業人數,千人,227,29,25
2024,嘉義市,就業人數,千人,99,6,17
2024,嘉義縣,就業人數,千人,169,11,16
2024,屏東縣,就業人數,千人,270,7,34
2024,澎湖縣,就業人數,千人,25,0,9
2024,花蓮縣,就業人數,千人,106,5,23
2024,臺東縣,就業人數,千人,74,2,20
2024,金馬,就業人數,千人,1,0,0
2024,其他,就業人數,千人,63,0,0
