年度,縣市別,行業別,統計項目,單位,中小企業(家),大企業(家)
2013,臺南市,資訊及通訊傳播業,家數,家,783,11
2013,高雄市,資訊及通訊傳播業,家數,家,1290,27
2013,基隆市,資訊及通訊傳播業,家數,家,132, 
2013,宜蘭縣,資訊及通訊傳播業,家數,家,146, 
2013,新竹市,資訊及通訊傳播業,家數,家,352,20
2013,新竹縣,資訊及通訊傳播業,家數,家,230,15
2013,苗栗縣,資訊及通訊傳播業,家數,家,158, 
2013,彰化縣,資訊及通訊傳播業,家數,家,281, 
2013,南投縣,資訊及通訊傳播業,家數,家,147, 
2013,雲林縣,資訊及通訊傳播業,家數,家,124, 
2013,嘉義市,資訊及通訊傳播業,家數,家,133, 
2013,嘉義縣,資訊及通訊傳播業,家數,家,41, 
2013,屏東縣,資訊及通訊傳播業,家數,家,181, 
2013,澎湖縣,資訊及通訊傳播業,家數,家,45, 
2013,花蓮縣,資訊及通訊傳播業,家數,家,108, 
2013,臺東縣,資訊及通訊傳播業,家數,家,59, 
2013,金門縣,資訊及通訊傳播業,家數,家,37, 
2013,連江縣,資訊及通訊傳播業,家數,家,7, 
2013,總計,金融及保險業,家數,家,14947,2434
2013,臺北市,金融及保險業,家數,家,5912,1044
2013,新北市,金融及保險業,家數,家,1902,305
2013,桃園縣,金融及保險業,家數,家,851,156
2013,臺中市,金融及保險業,家數,家,1515,214
2013,臺南市,金融及保險業,家數,家,874,126
2013,高雄市,金融及保險業,家數,家,1452,212
2013,基隆市,金融及保險業,家數,家,129,15
2013,宜蘭縣,金融及保險業,家數,家,113,32
2013,新竹市,金融及保險業,家數,家,300,56
2013,新竹縣,金融及保險業,家數,家,187,24
2013,苗栗縣,金融及保險業,家數,家,144,24
2013,彰化縣,金融及保險業,家數,家,400,58
2013,南投縣,金融及保險業,家數,家,129,23
2013,雲林縣,金融及保險業,家數,家,182,34
2013,嘉義市,金融及保險業,家數,家,219,27
2013,嘉義縣,金融及保險業,家數,家,115,20
2013,屏東縣,金融及保險業,家數,家,245,33
2013,澎湖縣,金融及保險業,家數,家,30, 
2013,花蓮縣,金融及保險業,家數,家,127,18
2013,臺東縣,金融及保險業,家數,家,89,8
2013,金門縣,金融及保險業,家數,家,30, 
2013,連江縣,金融及保險業,家數,家,,0
2013,總計,不動產業,家數,家,29986,1513
2013,臺北市,不動產業,家數,家,7153,519
2013,新北市,不動產業,家數,家,4689,263
2013,桃園縣,不動產業,家數,家,2712,132
2013,臺中市,不動產業,家數,家,4269,243
2013,臺南市,不動產業,家數,家,1891,53
2013,高雄市,不動產業,家數,家,2712,132
2013,基隆市,不動產業,家數,家,239, 
2013,宜蘭縣,不動產業,家數,家,691,8
2013,新竹市,不動產業,家數,家,752,38
2013,新竹縣,不動產業,家數,家,755,45
2013,苗栗縣,不動產業,家數,家,505,12
2013,彰化縣,不動產業,家數,家,905,18
2013,南投縣,不動產業,家數,家,340, 
2013,雲林縣,不動產業,家數,家,389,14
2013,嘉義市,不動產業,家數,家,439, 
2013,嘉義縣,不動產業,家數,家,180, 
2013,屏東縣,不動產業,家數,家,495, 
2013,澎湖縣,不動產業,家數,家,115,0
2013,花蓮縣,不動產業,家數,家,416,7
2013,臺東縣,不動產業,家數,家,191,7
2013,金門縣,不動產業,家數,家,145,0
2013,連江縣,不動產業,家數,家,,0
2013,總計,專業、科學及技術服務業,家數,家,41167,714
2013,臺北市,專業、科學及技術服務業,家數,家,14052,443
2013,新北市,專業、科學及技術服務業,家數,家,6664,86
2013,桃園縣,專業、科學及技術服務業,家數,家,2725,36
2013,臺中市,專業、科學及技術服務業,家數,家,5365,44
2013,臺南市,專業、科學及技術服務業,家數,家,2345,10
