年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2020,金屬製品製造業,出口額,百萬元,331962,132093,199868
2020,電子零組件製造業,出口額,百萬元,3443551,315633,3127919
2020,電腦、電子產品及光學製品製造業,出口額,百萬元,744535,69833,674702
2020,電力設備及配備製造業,出口額,百萬元,218958,32556,186402
2020,機械設備製造業,出口額,百萬元,336636,141727,194908
2020,汽車及其零件製造業,出口額,百萬元,103245,16969,86276
2020,其他運輸工具及其零件製造業,出口額,百萬元,189021,81776,107244
2020,家具製造業,出口額,百萬元,31501,18508,12992
2020,其他製造業,出口額,百萬元,115005,31664,83342
2020,產業用機械設備維修及安裝業,出口額,百萬元,49048,16261,32787
2021,總計,出口額,百萬元,8754417,1260461,7493956
2021,食品及飼品製造業,出口額,百萬元,41220,14853,26367
2021,飲料製造業,出口額,百萬元,2207,561,1645
2021,菸草、石油及煤製品製造業,出口額,百萬元,273393,945,272448
2021,紡織業,出口額,百萬元,171393,20451,150942
2021,成衣及服飾品製造業,出口額,百萬元,18794,8630,10165
2021,皮革、毛皮及其製品製造業,出口額,百萬元,24560,8201,16359
2021,木竹製品製造業,出口額,百萬元,4017,2791,1226
2021,紙漿、紙及紙製品製造業,出口額,百萬元,34750,6957,27792
2021,印刷及資料儲存媒體複製業,出口額,百萬元,68744,4304,64440
2021,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,出口額,百萬元,659027,36801,622226
2021,其他化學製品製造業,出口額,百萬元,100352,24381,75971
2021,藥品及醫用化學製品製造業,出口額,百萬元,23164,3131,20033
2021,橡膠製品製造業,出口額,百萬元,86036,17472,68564
2021,塑膠製品製造業,出口額,百萬元,137790,58097,79693
2021,非金屬礦物製品製造業,出口額,百萬元,62821,18941,43880
2021,基本金屬製造業,出口額,百萬元,411742,31565,380178
2021,金屬製品製造業,出口額,百萬元,412600,154058,258542
2021,電子零組件製造業,出口額,百萬元,4144119,382589,3761530
2021,電腦、電子產品及光學製品製造業,出口額,百萬元,824891,62990,761901
2021,電力設備及配備製造業,出口額,百萬元,267750,36048,231701
2021,機械設備製造業,出口額,百萬元,416733,164237,252495
2021,汽車及其零件製造業,出口額,百萬元,123560,19875,103685
2021,其他運輸工具及其零件製造業,出口額,百萬元,232217,108648,123568
2021,家具製造業,出口額,百萬元,37849,22535,15314
2021,其他製造業,出口額,百萬元,135674,32698,102976
2021,產業用機械設備維修及安裝業,出口額,百萬元,39016,18700,20316
2022,總計,出口額,百萬元,10253784,1358232,8895553
