年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2020,紡織業,內銷額,百萬元,226765,87421,139345
2020,成衣及服飾品製造業,內銷額,百萬元,39107,30432,8675
2020,皮革、毛皮及其製品製造業,內銷額,百萬元,24429,11673,12756
2020,木竹製品製造業,內銷額,百萬元,44080,37153,6927
2020,紙漿、紙及紙製品製造業,內銷額,百萬元,178709,113132,65578
2020,印刷及資料儲存媒體複製業,內銷額,百萬元,106326,78780,27546
2020,石油及煤製品製造業,內銷額,百萬元,340951,41588,299363
2020,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,內銷額,百萬元,553922,319294,234628
2020,其他化學製品製造業,內銷額,百萬元,187653,67563,120090
2020,藥品及醫用化學製品製造業,內銷額,百萬元,100523,16707,83816
2020,橡膠製品製造業,內銷額,百萬元,89920,34429,55492
2020,塑膠製品製造業,內銷額,百萬元,305294,217358,87936
2020,非金屬礦物製品製造業,內銷額,百萬元,293453,175004,118449
2020,基本金屬製造業,內銷額,百萬元,843421,193768,649653
2020,金屬製品製造業,內銷額,百萬元,878360,677690,200670
2020,電子零組件製造業,內銷額,百萬元,776079,166352,609726
2020,電腦、電子產品及光學製品製造業,內銷額,百萬元,334854,63134,271720
2020,電力設備及配備製造業,內銷額,百萬元,403428,169479,233949
2020,機械設備製造業,內銷額,百萬元,490232,330404,159828
2020,汽車及其零件製造業,內銷額,百萬元,508268,58728,449539
2020,其他運輸工具及其零件製造業,內銷額,百萬元,172470,62671,109798
2020,家具製造業,內銷額,百萬元,46431,35528,10902
2020,其他製造業,內銷額,百萬元,88844,58071,30772
2020,產業用機械設備維修及安裝業,內銷額,百萬元,163276,124262,39014
2021,總計,內銷額,百萬元,9624387,4206217,5418170
2021,食品及飼品製造業,內銷額,百萬元,626851,266327,360524
2021,飲料製造業,內銷額,百萬元,59791,35430,24362
2021,菸草、石油及煤製品製造業,內銷額,百萬元,500573,52571,448002
2021,紡織業,內銷額,百萬元,263492,99932,163560
2021,成衣及服飾品製造業,內銷額,百萬元,41355,31846,9509
2021,皮革、毛皮及其製品製造業,內銷額,百萬元,30174,13922,16251
2021,木竹製品製造業,內銷額,百萬元,55840,45398,10442
2021,紙漿、紙及紙製品製造業,內銷額,百萬元,207082,134445,72637
2021,印刷及資料儲存媒體複製業,內銷額,百萬元,119473,83783,35690
2021,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,內銷額,百萬元,788290,480141,308149
2021,其他化學製品製造業,內銷額,百萬元,220492,78636,141856
2021,藥品及醫用化學製品製造業,內銷額,百萬元,100466,15634,84833
2021,橡膠製品製造業,內銷額,百萬元,88058,40839,47218
2021,塑膠製品製造業,內銷額,百萬元,347888,252850,95038
2021,非金屬礦物製品製造業,內銷額,百萬元,338989,196048,142941
2021,基本金屬製造業,內銷額,百萬元,1205830,259645,946185
2021,金屬製品製造業,內銷額,百萬元,1100951,839097,261855
2021,電子零組件製造業,內銷額,百萬元,962163,216581,745582
2021,電腦、電子產品及光學製品製造業,內銷額,百萬元,382764,73033,309731
2021,電力設備及配備製造業,內銷額,百萬元,515026,195043,319983
2021,機械設備製造業,內銷額,百萬元,596091,406029,190062
2021,汽車及其零件製造業,內銷額,百萬元,545177,67060,478117
2021,其他運輸工具及其零件製造業,內銷額,百萬元,195075,80276,114799
2021,家具製造業,內銷額,百萬元,53370,40010,13360
2021,其他製造業,內銷額,百萬元,97038,62896,34142
2021,產業用機械設備維修及安裝業,內銷額,百萬元,182087,138744,43343
2022,總計,內銷額,百萬元,9847076,4214184,5632893
2022,食品及飼品製造業,內銷額,百萬元,717577,304563,413014
