年度,行業別,行業別代碼,統計項目,單位,全部企業(千人),中小企業(千人),大企業(千人),政府僱用(千人)
2022,出版、影音製作、傳播及資通訊服務業,J,受僱人數,千人,253,216,36,1
2022,金融及保險業,K,受僱人數,千人,424,366,44,15
2022,不動產業,L,受僱人數,千人,95,94,1,1
2022,專業、科學及技術服務業,M,受僱人數,千人,312,262,22,27
2022,支援服務業,N,受僱人數,千人,274,264,10,1
2022,公共行政及國防；強制性社會安全,O,受僱人數,千人,373,0,0,372
2022,教育業,P,受僱人數,千人,611,246,26,338
2022,醫療保健及社會工作服務業,Q,受僱人數,千人,484,287,105,92
2022,藝術、娛樂及休閒服務業,R,受僱人數,千人,95,79,1,14
2022,其他服務業,S,受僱人數,千人,343,339,1,2
2023,農、林、漁、牧業,A,受僱人數,千人,97,92,0,5
2023,礦業及土石採取業,B,受僱人數,千人,3,3,0,0
2023,製造業,C,受僱人數,千人,2810,1827,961,22
2023,電力及燃氣供應業,D,受僱人數,千人,33,9,3,21
2023,用水供應及污染整治業,E,受僱人數,千人,79,31,1,48
2023,營建工程業,F,受僱人數,千人,769,752,9,8
2023,批發及零售業,G,受僱人數,千人,1202,1164,30,8
2023,運輸及倉儲業,H,受僱人數,千人,365,265,49,51
2023,住宿及餐飲業,I,受僱人數,千人,596,588,7,1
2023,出版影音及資通訊業,J,受僱人數,千人,259,217,41,1
2023,金融及保險業,K,受僱人數,千人,429,362,49,18
2023,不動產業,L,受僱人數,千人,97,96,1,1
2023,專業、科學及技術服務業,M,受僱人數,千人,330,275,27,28
2023,支援服務業,N,受僱人數,千人,295,283,12,1
2023,公共行政及國防；強制性社會安全,O,受僱人數,千人,376,1,0,375
2023,教育業,P,受僱人數,千人,607,247,29,332
2023,醫療保健及社會工作服務業,Q,受僱人數,千人,508,308,108,92
2023,藝術、娛樂及休閒服務業,R,受僱人數,千人,100,82,3,16
2023,其他服務業,S,受僱人數,千人,350,347,1,2
2024,農、林、漁、牧業,A,受僱人數,千人,91,86,1,4
2024,礦業及土石採取業,B,受僱人數,千人,4,3,0,0
2024,製造業,C,受僱人數,千人,2809,1800,988,21
2024,電力及燃氣供應業,D,受僱人數,千人,34,8,1,24
2024,用水供應及污染整治業,E,受僱人數,千人,81,34,1,46
2024,營建工程業,F,受僱人數,千人,778,760,12,7
2024,批發及零售業,G,受僱人數,千人,1229,1189,31,8
2024,運輸及倉儲業,H,受僱人數,千人,368,265,49,53
2024,住宿及餐飲業,I,受僱人數,千人,615,609,6,0
2024,出版影音及資通訊業,J,受僱人數,千人,265,221,43,0
2024,金融及保險業,K,受僱人數,千人,430,369,41,20
2024,不動產業,L,受僱人數,千人,98,96,1,0
2024,專業、科學及技術服務業,M,受僱人數,千人,338,278,38,22
2024,支援服務業,N,受僱人數,千人,302,291,11,0
2024,公共行政及國防；強制性社會安全,O,受僱人數,千人,377,1,0,376
2024,教育業,P,受僱人數,千人,608,246,26,335
2024,醫療保健及社會工作服務業,Q,受僱人數,千人,525,314,117,94
2024,藝術、娛樂及休閒服務業,R,受僱人數,千人,101,84,2,15
2024,其他服務業,S,受僱人數,千人,344,341,2,2
