年度,行業別,行業別代碼,統計項目,單位,全部企業(千人),中小企業(千人),大企業(千人),政府僱用(千人)
2022,不動產業,L,就業人數,千人,104,103,1,1
2022,專業、科學及技術服務業,M,就業人數,千人,390,341,22,27
2022,支援服務業,N,就業人數,千人,295,285,10,1
2022,公共行政及國防；強制性社會安全,O,就業人數,千人,373,0,0,372
2022,教育業,P,就業人數,千人,638,273,26,338
2022,醫療保健及社會工作服務業,Q,就業人數,千人,505,308,105,92
2022,藝術、娛樂及休閒服務業,R,就業人數,千人,114,98,1,14
2022,其他服務業,S,就業人數,千人,559,556,1,2
2023,農、林、漁、牧業,A,就業人數,千人,509,504,0,5
2023,礦業及土石採取業,B,就業人數,千人,3,3,0,0
2023,製造業,C,就業人數,千人,3001,2017,962,22
2023,電力及燃氣供應業,D,就業人數,千人,33,9,3,21
2023,用水供應及污染整治業,E,就業人數,千人,85,37,1,48
2023,營建工程業,F,就業人數,千人,921,904,9,8
2023,批發及零售業,G,就業人數,千人,1831,1793,30,8
2023,運輸及倉儲業,H,就業人數,千人,495,395,49,51
2023,住宿及餐飲業,I,就業人數,千人,877,869,7,1
2023,出版影音及資通訊業,J,就業人數,千人,278,236,42,1
2023,金融及保險業,K,就業人數,千人,434,367,49,18
2023,不動產業,L,就業人數,千人,104,102,1,1
2023,專業、科學及技術服務業,M,就業人數,千人,403,348,27,28
2023,支援服務業,N,就業人數,千人,315,303,12,1
2023,公共行政及國防；強制性社會安全,O,就業人數,千人,376,1,0,375
2023,教育業,P,就業人數,千人,637,276,29,332
2023,醫療保健及社會工作服務業,Q,就業人數,千人,529,329,108,92
2023,藝術、娛樂及休閒服務業,R,就業人數,千人,124,105,3,16
2023,其他服務業,S,就業人數,千人,571,568,1,2
2024,農、林、漁、牧業,A,就業人數,千人,494,489,1,4
2024,礦業及土石採取業,B,就業人數,千人,4,3,0,0
2024,製造業,C,就業人數,千人,2994,1984,988,21
2024,電力及燃氣供應業,D,就業人數,千人,34,9,1,24
2024,用水供應及污染整治業,E,就業人數,千人,87,40,1,46
2024,營建工程業,F,就業人數,千人,932,914,12,7
2024,批發及零售業,G,就業人數,千人,1825,1785,31,8
2024,運輸及倉儲業,H,就業人數,千人,505,403,49,53
2024,住宿及餐飲業,I,就業人數,千人,901,894,6,0
2024,出版影音及資通訊業,J,就業人數,千人,287,244,43,0
2024,金融及保險業,K,就業人數,千人,435,373,41,20
2024,不動產業,L,就業人數,千人,106,104,1,0
2024,專業、科學及技術服務業,M,就業人數,千人,408,348,38,22
2024,支援服務業,N,就業人數,千人,324,314,11,0
2024,公共行政及國防；強制性社會安全,O,就業人數,千人,377,1,0,376
2024,教育業,P,就業人數,千人,637,276,26,335
2024,醫療保健及社會工作服務業,Q,就業人數,千人,549,337,117,94
2024,藝術、娛樂及休閒服務業,R,就業人數,千人,125,108,2,15
2024,其他服務業,S,就業人數,千人,572,568,2,2
