年度,行業別,統計項目,單位,全部企業(家),中小企業(家),大企業(家)
2024,石油及煤製品製造業,家數,家,193,177,16
2024,化學材料及肥料製造業,家數,家,1575,1334,241
2024,其他化學製品製造業,家數,家,2619,2454,165
2024,藥品及醫用化學製品製造業,家數,家,394,262,132
2024,橡膠製品製造業,家數,家,1637,1563,74
2024,塑膠製品製造業,家數,家,9948,9674,274
2024,非金屬礦物製品製造業,家數,家,3219,3049,170
2024,基本金屬製造業,家數,家,6129,5827,302
2024,金屬製品製造業,家數,家,39295,38720,575
2024,電子零組件製造業,家數,家,5954,5019,935
2024,電腦、電子產品及光學製品製造業,家數,家,3007,2525,482
2024,電力設備及配備製造業,家數,家,5687,5263,424
2024,機械設備製造業,家數,家,16168,15643,525
2024,汽車及其零件製造業,家數,家,2153,1983,170
2024,其他運輸工具及其零件製造業,家數,家,2154,2012,142
2024,家具製造業,家數,家,2299,2266,33
2024,其他製造業,家數,家,4008,3811,197
2024,產業用機械設備維修及安裝業,家數,家,7535,7476,59
