年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2020,住宿及餐飲業,銷售額,百萬元,688317,597578,90739
2020,出版、影音製作、傳播及資通訊服務業,銷售額,百萬元,1341008,694864,646144
2020,金融及保險業,銷售額,百萬元,2600165,1174889,1425276
2020,不動產業,銷售額,百萬元,1711975,932865,779110
2020,專業、科學及技術服務業,銷售額,百萬元,816686,541748,274938
2020,支援服務業,銷售額,百萬元,544685,309009,235677
2020,教育業,銷售額,百萬元,23138,21001,2137
2020,醫療保健及社會工作服務業,銷售額,百萬元,34544,30883,3661
2020,藝術、娛樂及休閒服務業,銷售額,百萬元,120681,100994,19687
2020,其他服務業,銷售額,百萬元,250248,224244,26004
2021,總計,銷售額,百萬元,50693753,26619499,24074255
2021,農、林、漁、牧業,銷售額,百萬元,64406,50428,13978
2021,礦業及土石採取業,銷售額,百萬元,55451,38103,17349
2021,製造業,銷售額,百萬元,18378803,5466678,12912126
2021,電力及燃氣供應業,銷售額,百萬元,966465,745995,220470
2021,用水供應及污染整治業,銷售額,百萬元,238588,186306,52282
2021,營建工程業,銷售額,百萬元,3069818,2109714,960104
2021,批發及零售業,銷售額,百萬元,17546731,11961205,5585526
2021,運輸及倉儲業,銷售額,百萬元,1610742,1096982,513760
2021,住宿及餐飲業,銷售額,百萬元,668576,576832,91745
2021,出版、影音製作、傳播及資通訊服務業,銷售額,百萬元,1513018,758526,754493
2021,金融及保險業,銷售額,百萬元,2735091,1244032,1491059
2021,不動產業,銷售額,百萬元,1853904,1050319,803586
2021,專業、科學及技術服務業,銷售額,百萬元,1002000,647139,354860
2021,支援服務業,銷售額,百萬元,586240,329820,256419
2021,教育業,銷售額,百萬元,24094,21375,2719
2021,醫療保健及社會工作服務業,銷售額,百萬元,36346,32987,3359
2021,藝術、娛樂及休閒服務業,銷售額,百萬元,102765,85552,17213
2021,其他服務業,銷售額,百萬元,240713,217508,23205
2022,總計,銷售額,百萬元,55429805,28592007,26837798
2022,農、林、漁、牧業與礦業及土石採取業,銷售額,百萬元,138400,93783,44617
2022,製造業,銷售額,百萬元,20100861,5572416,14528445
2022,電力及燃氣供應業與用水供應及污染整治業,銷售額,百萬元,1434445,1082880,351565
2022,營建工程業　,銷售額,百萬元,3597278,2418945,1178333
2022,批發及零售業,銷售額,百萬元,18707526,12825088,5882438
2022,運輸及倉儲業　,銷售額,百萬元,1943627,1174563,769064
2022,住宿及餐飲業　,銷售額,百萬元,808852,695994,112858
2022,出版、影音製作、傳播及資通訊服務業　,銷售額,百萬元,1671055,854209,816846
2022,金融及保險業,銷售額,百萬元,3139012,1419316,1719696
2022,不動產業　,銷售額,百萬元,1762954,993830,769124
2022,專業、科學及技術服務業　,銷售額,百萬元,1014443,665892,348551
2022,支援服務業　,銷售額,百萬元,635061,374504,260557
2022,教育業　,銷售額,百萬元,29255,26006,3249
2022,醫療保健及社會工作服務業　,銷售額,百萬元,39924,36054,3871
2022,藝術、娛樂及休閒服務業　,銷售額,百萬元,133672,114018,19654
2022,其他服務業　,銷售額,百萬元,273440,244510,28930
2023,總計,銷售額,百萬元,54611411,28760346,25851065
2023,農、林、漁、牧業與礦業及土石採取業,銷售額,百萬元,170706,127849,42857
2023,製造業,銷售額,百萬元,18320412,5073771,13246641
2023,電力及燃氣供應業與用水供應及污染整治業,銷售額,百萬元,1756349,1344496,411852
2023,營建工程業　,銷售額,百萬元,3862427,2565780,1296646
2023,批發及零售業,銷售額,百萬元,18271598,12668067,5603530
2023,運輸及倉儲業　,銷售額,百萬元,1607119,951986,655132
2023,住宿及餐飲業　,銷售額,百萬元,952313,821684,130629
2023,出版影音及資通訊業　,銷售額,百萬元,1752794,909300,843494
2023,金融及保險業,銷售額,百萬元,3662089,1737247,1924841
2023,不動產業　,銷售額,百萬元,1932723,978635,954088
2023,專業、科學及技術服務業　,銷售額,百萬元,1076394,714929,361465
2023,支援服務業　,銷售額,百萬元,708014,393436,314578
2023,教育業　,銷售額,百萬元,34484,30887,3597
2023,醫療保健及社會工作服務業　,銷售額,百萬元,44419,40192,4226
2023,藝術、娛樂及休閒服務業　,銷售額,百萬元,157828,133842,23986
2023,其他服務業　,銷售額,百萬元,301743,268243,33500
2024,總計,銷售額,百萬元,59772590,31075170,28697420
2024,農、林、漁、牧業與礦業及土石採取業,銷售額,百萬元,316605,268165,48441
2024,製造業,銷售額,百萬元,19683790,5270609,14413181
2024,電力及燃氣供應業與用水供應及污染整治業,銷售額,百萬元,2049028,1620978,428050
2024,營建工程業　,銷售額,百萬元,4356505,2849291,1507215
2024,批發及零售業,銷售額,百萬元,19581888,13170379,6411510
