年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2022,教育業,出口額,百萬元,285,240,45
2022,醫療保健及社會工作服務業,出口額,百萬元,928,831,97
2022,藝術、娛樂及休閒服務業,出口額,百萬元,750,608,142
2022,其他服務業,出口額,百萬元,7608,7425,183
2023,總計,出口額,百萬元,12833987,3019024,9814964
2023,農、林、漁、牧業與礦業及土石採取業,出口額,百萬元,9715,7976,1739
2023,製造業,出口額,百萬元,9110758,1137308,7973450
2023,電力及燃氣供應業與用水供應及污染整治業,出口額,百萬元,31488,8882,22606
2023,營建工程業,出口額,百萬元,40149,11758,28391
2023,批發及零售業,出口額,百萬元,2855281,1462145,1393136
2023,運輸及倉儲業,出口額,百萬元,405057,214689,190368
2023,住宿及餐飲業,出口額,百萬元,2050,447,1604
2023,出版影音及資通訊業,出口額,百萬元,189383,71068,118315
2023,金融及保險業,出口額,百萬元,17250,11934,5316
2023,不動產業,出口額,百萬元,3422,1275,2148
2023,專業、科學及技術服務業,出口額,百萬元,155877,79850,76027
2023,支援服務業,出口額,百萬元,6527,5088,1439
2023,教育業,出口額,百萬元,263,231,32
2023,醫療保健及社會工作服務業,出口額,百萬元,1058,942,116
2023,藝術、娛樂及休閒服務業,出口額,百萬元,813,767,45
2023,其他服務業,出口額,百萬元,4896,4663,233
2024,總計,出口額,百萬元,14442722,3193376,11249345
2024,農、林、漁、牧業與礦業及土石採取業,出口額,百萬元,12420,10505,1915
2024,製造業,出口額,百萬元,10194317,1181049,9013268
2024,電力及燃氣供應業與用水供應及污染整治業,出口額,百萬元,32914,8342,24571
2024,營建工程業,出口額,百萬元,34707,12354,22354
2024,批發及零售業,出口額,百萬元,3250511,1527702,1722809
2024,運輸及倉儲業,出口額,百萬元,496257,268166,228091
2024,住宿及餐飲業,出口額,百萬元,2022,538,1485
2024,出版影音及資通訊業,出口額,百萬元,195922,74549,121372
2024,金融及保險業,出口額,百萬元,40049,14547,25502
2024,不動產業,出口額,百萬元,3765,1915,1850
2024,專業、科學及技術服務業,出口額,百萬元,161558,77230,84328
2024,支援服務業,出口額,百萬元,9339,8205,1134
2024,教育業,出口額,百萬元,234,205,29
2024,醫療保健及社會工作服務業,出口額,百萬元,1293,990,303
2024,藝術、娛樂及休閒服務業,出口額,百萬元,1370,1327,42
2024,其他服務業,出口額,百萬元,6045,5752,293
